Region: Alik'r Desert

Dungeon: Ruins of The Caorchom Farmstead
Type: Crypt
Total Size: 12
B0000010.RDB,   X:-3, Z:1
B0000007.RDB,   X:-2, Z:0
N0000065.RDB,   X:-2, Z:1
B0000006.RDB,   X:-2, Z:2
B0000010.RDB,   X:-1, Z:-1
N0000031.RDB,   X:-1, Z:0
N0000001.RDB,   X:-1, Z:1
B0000012.RDB,   X:-1, Z:2
B0000004.RDB,   X:0, Z:-1
N0000006.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: Ruins of The F'igta Farmstead
Type: Desecrated Temple
Total Size: 12
B0000007.RDB,   X:-2, Z:0
B0000009.RDB,   X:-2, Z:1
B0000000.RDB,   X:-1, Z:-1
N0000050.RDB,   X:-1, Z:0
N0000074.RDB,   X:-1, Z:1
B0000010.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-2
N0000035.RDB,   X:0, Z:-1
N0000050.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
B0000010.RDB,   X:1, Z:0

Dungeon: Maorn's Guard
Type: Ruined Castle
Total Size: 11
B0000000.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
W0000011.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
W0000015.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:-1
W0000022.RDB,   X:2, Z:0
B0000012.RDB,   X:2, Z:1
B0000008.RDB,   X:3, Z:0

Dungeon: The Tombs of Klerd
Type: Forgotten Cemetery
Total Size: 5
B0000001.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: THe Crypts of Rhajom
Type: Forgotten Cemetery
Total Size: 5
B0000000.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Groleten
Type: Giant Stronghold
Total Size: 8
B0000009.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
W0000023.RDB,   X:0, Z:0
W0000008.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000012.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1

Dungeon: Ruins of Old Stectti's Place
Type: Desecrated Temple
Total Size: 8
B0000012.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000032.RDB,   X:0, Z:0
W0000007.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000005.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1

Dungeon: Castle Lhishen
Type: Giant Stronghold
Total Size: 8
B0000005.RDB,   X:-1, Z:-1
B0000014.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-2
N0000014.RDB,   X:0, Z:-1
N0000004.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: The Tombs of Cofylt
Type: Forgotten Cemetery
Total Size: 5
B0000005.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: The T'arder Vaults
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: Ruins of The Ghach Farmstead
Type: Scorpion Nest
Total Size: 8
B0000007.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
W0000025.RDB,   X:0, Z:0
N0000048.RDB,   X:0, Z:1
B0000001.RDB,   X:0, Z:2
B0000004.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1

Dungeon: Ruins of Tlurn'kern Palace
Type: Ruined Castle
Total Size: 13
B0000008.RDB,   X:-2, Z:0
B0000010.RDB,   X:-1, Z:-2
B0000003.RDB,   X:-1, Z:-1
N0000064.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-3
N0000074.RDB,   X:0, Z:-2
W0000008.RDB,   X:0, Z:-1
N0000086.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-2
B0000011.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Ruins of Mhurp Orchard
Type: Natural Cave
Total Size: 13
B0000004.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
N0000004.RDB,   X:0, Z:0
W0000022.RDB,   X:0, Z:1
B0000001.RDB,   X:0, Z:2
B0000014.RDB,   X:1, Z:0
N0000056.RDB,   X:1, Z:1
B0000013.RDB,   X:1, Z:2
B0000007.RDB,   X:2, Z:0
N0000062.RDB,   X:2, Z:1
B0000001.RDB,   X:2, Z:2
B0000010.RDB,   X:3, Z:1

Dungeon: The Azarus Web
Type: Scorpion Nest
Total Size: 8
B0000013.RDB,   X:-2, Z:0
B0000006.RDB,   X:-1, Z:-1
N0000055.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
W0000008.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: The Tower of Thuze
Type: Ruined Castle
Total Size: 11
B0000003.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-1
N0000010.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000010.RDB,   X:0, Z:-1
N0000038.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
W0000000.RDB,   X:1, Z:0
B0000011.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:0

Dungeon: Ruins of Cyeghtan Manor
Type: Natural Cave
Total Size: 8
B0000010.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
N0000083.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
N0000077.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000000.RDB,   X:2, Z:0

Dungeon: Ruins of Saullur Grange
Type: Crypt
Total Size: 14
B0000010.RDB,   X:-1, Z:-3
B0000004.RDB,   X:-1, Z:-2
B0000008.RDB,   X:-1, Z:-1
B0000005.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-4
N0000072.RDB,   X:0, Z:-3
W0000003.RDB,   X:0, Z:-2
W0000010.RDB,   X:0, Z:-1
N0000047.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-3
B0000004.RDB,   X:1, Z:-2
B0000001.RDB,   X:1, Z:-1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of Merim's Guard
Type: Coven
Total Size: 11
B0000005.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-2
W0000024.RDB,   X:0, Z:-1
N0000023.RDB,   X:0, Z:0
W0000018.RDB,   X:0, Z:1
B0000011.RDB,   X:0, Z:2
B0000002.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1

Dungeon: Ruins of Old Lerkfa's Shack
Type: Coven
Total Size: 10
B0000008.RDB,   X:-2, Z:0
B0000008.RDB,   X:-2, Z:1
B0000000.RDB,   X:-1, Z:-1
W0000009.RDB,   X:-1, Z:0
N0000070.RDB,   X:-1, Z:1
B0000008.RDB,   X:-1, Z:2
B0000014.RDB,   X:0, Z:-1
W0000019.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: Ruins of Krofylen Court
Type: Crypt
Total Size: 8
B0000014.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-1
N0000051.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
W0000014.RDB,   X:1, Z:0
B0000012.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:0

Dungeon: The Tower of Caect'kern
Type: Natural Cave
Total Size: 12
B0000002.RDB,   X:-2, Z:1
B0000000.RDB,   X:-1, Z:0
N0000005.RDB,   X:-1, Z:1
B0000006.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-1
N0000004.RDB,   X:0, Z:0
W0000021.RDB,   X:0, Z:1
B0000007.RDB,   X:0, Z:2
B0000006.RDB,   X:1, Z:-1
N0000032.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:0

Dungeon: Ruins of Old Mhorci's Place
Type: Desecrated Temple
Total Size: 13
B0000002.RDB,   X:-1, Z:-2
