Region: Ilessan Hills

Dungeon: The Convent of Baalulena
Type: Desecrated Temple
Total Size: 13
B0000003.RDB,   X:-1, Z:-1
B0000014.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-2
W0000018.RDB,   X:0, Z:-1
N0000028.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-2
N0000008.RDB,   X:1, Z:-1
B0000001.RDB,   X:1, Z:0
B0000012.RDB,   X:2, Z:-2
W0000009.RDB,   X:2, Z:-1
B0000005.RDB,   X:2, Z:0
B0000009.RDB,   X:3, Z:-1

Dungeon: The Hawksley Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000010.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:0

Dungeon: Castle Viscount Garezoth
Type: Vampire Haunt
Total Size: 8
B0000013.RDB,   X:-1, Z:0
B0000008.RDB,   X:-1, Z:1
B0000010.RDB,   X:0, Z:-1
W0000010.RDB,   X:0, Z:0
N0000083.RDB,   X:0, Z:1
B0000004.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1

Dungeon: The Tower of Hearthham
Type: Desecrated Temple
Total Size: 12
B0000012.RDB,   X:-1, Z:-2
B0000004.RDB,   X:-1, Z:-1
B0000003.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-3
N0000064.RDB,   X:0, Z:-2
N0000090.RDB,   X:0, Z:-1
W0000003.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-2
W0000018.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0
B0000002.RDB,   X:2, Z:-1

Dungeon: The Woodhouse Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000011.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: The Buckinghouse Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000007.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: Ruins of Woodcroft Court
Type: Crypt
Total Size: 8
B0000001.RDB,   X:-2, Z:0
B0000009.RDB,   X:-1, Z:-1
W0000011.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
N0000024.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: Ruins of The Old Ashsly Place
Type: Coven
Total Size: 13
B0000011.RDB,   X:-1, Z:-2
B0000010.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-3
N0000006.RDB,   X:0, Z:-2
N0000067.RDB,   X:0, Z:-1
N0000017.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-2
B0000009.RDB,   X:1, Z:-1
W0000020.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000003.RDB,   X:2, Z:0

Dungeon: Hawkcroft Hall
Type: Ruined Castle
Total Size: 10
B0000006.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-1
W0000029.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
