Region: Koegria

Dungeon: Ruins of Ashfield Hall
Type: Prison
Total Size: 14
B0000014.RDB,   X:-1, Z:-3
B0000014.RDB,   X:-1, Z:-2
B0000005.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-4
N0000069.RDB,   X:0, Z:-3
N0000054.RDB,   X:0, Z:-2
N0000024.RDB,   X:0, Z:-1
N0000045.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-3
B0000010.RDB,   X:1, Z:-2
B0000003.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Ruins of The Old Moorhart Place
Type: Natural Cave
Total Size: 13
B0000007.RDB,   X:-1, Z:-2
B0000007.RDB,   X:-1, Z:-1
B0000001.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-3
N0000053.RDB,   X:0, Z:-2
N0000069.RDB,   X:0, Z:-1
N0000067.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:-3
N0000008.RDB,   X:1, Z:-2
B0000003.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0
B0000002.RDB,   X:2, Z:-2

Dungeon: The Yeomhart Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000006.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Greenton Tower
Type: Giant Stronghold
Total Size: 13
B0000005.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000000.RDB,   X:-1, Z:2
B0000008.RDB,   X:0, Z:-1
N0000073.RDB,   X:0, Z:0
W0000004.RDB,   X:0, Z:1
W0000021.RDB,   X:0, Z:2
B0000007.RDB,   X:0, Z:3
B0000004.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
W0000003.RDB,   X:1, Z:2
B0000012.RDB,   X:1, Z:3
B0000002.RDB,   X:2, Z:2

Dungeon: Grolhoth
Type: Giant Stronghold
Total Size: 12
B0000002.RDB,   X:-3, Z:0
B0000014.RDB,   X:-2, Z:-1
W0000015.RDB,   X:-2, Z:0
B0000005.RDB,   X:-2, Z:1
B0000001.RDB,   X:-1, Z:-1
N0000057.RDB,   X:-1, Z:0
N0000002.RDB,   X:-1, Z:1
B0000013.RDB,   X:-1, Z:2
B0000007.RDB,   X:0, Z:-1
N0000021.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:0

Dungeon: The Vojrilas Web
Type: Spider Nest
Total Size: 11
B0000010.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-2
N0000035.RDB,   X:0, Z:-1
W0000010.RDB,   X:0, Z:0
N0000084.RDB,   X:0, Z:1
B0000007.RDB,   X:0, Z:2
B0000000.RDB,   X:1, Z:-1
B0000011.RDB,   X:1, Z:0
B0000011.RDB,   X:1, Z:1

Dungeon: The Ashhouse Crypts
Type: Forgotten Cemetery
Total Size: 5
B0000007.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: Castle Kingfield
Type: Barbarian Stronghold
Total Size: 12
B0000011.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000010.RDB,   X:0, Z:-1
N0000036.RDB,   X:0, Z:0
N0000056.RDB,   X:0, Z:1
B0000001.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:0
N0000014.RDB,   X:1, Z:1
N0000032.RDB,   X:1, Z:2
B0000009.RDB,   X:1, Z:3
B0000001.RDB,   X:2, Z:1
B0000006.RDB,   X:2, Z:2

Dungeon: Coppersly Tower
Type: Natural Cave
Total Size: 12
B0000002.RDB,   X:-2, Z:-1
B0000011.RDB,   X:-1, Z:-2
N0000041.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
N0000080.RDB,   X:0, Z:-1
W0000003.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-1
N0000075.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:0

Dungeon: The Haunt of Balthenon
Type: Vampire Haunt
Total Size: 10
B0000007.RDB,   X:-2, Z:0
B0000014.RDB,   X:-1, Z:-1
N0000013.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000003.RDB,   X:0, Z:-1
W0000013.RDB,   X:0, Z:0
N0000029.RDB,   X:0, Z:1
B0000011.RDB,   X:0, Z:2
B0000012.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1

Dungeon: The Woodfield Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Hearthcroft's Guard
Type: Orc Stronghold
Total Size: 13
B0000006.RDB,   X:-2, Z:0
B0000003.RDB,   X:-1, Z:-1
N0000075.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000003.RDB,   X:0, Z:-1
N0000065.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
N0000043.RDB,   X:1, Z:0
N0000082.RDB,   X:1, Z:1
B0000001.RDB,   X:1, Z:2
B0000006.RDB,   X:2, Z:0
B0000007.RDB,   X:2, Z:1

Dungeon: The Ashwing Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: The Hearthsmith Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000008.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: The Coven of Elyzona
Type: Coven
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000073.RDB,   X:0, Z:0
N0000032.RDB,   X:0, Z:1
B0000008.RDB,   X:0, Z:2
B0000003.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1

Dungeon: The Kingsly Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000009.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: The Sahilorgonivah Grotto
Type: Natural Cave
Total Size: 8
B0000000.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-1
N0000067.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-1
