Region: Mournoth

Dungeon: Ruins of The Klolpum Farmstead
Type: Laboratory
Total Size: 10
B0000013.RDB,   X:-2, Z:0
B0000013.RDB,   X:-1, Z:-1
N0000064.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000003.RDB,   X:0, Z:-1
N0000072.RDB,   X:0, Z:0
W0000028.RDB,   X:0, Z:1
B0000003.RDB,   X:0, Z:2
B0000006.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1

Dungeon: Ruins of F'orch Manor
Type: Orc Stronghold
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
N0000020.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
N0000087.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:0

Dungeon: Castle Sestam
Type: Coven
Total Size: 8
B0000000.RDB,   X:-1, Z:-1
B0000014.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-2
N0000062.RDB,   X:0, Z:-1
W0000014.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
B0000007.RDB,   X:1, Z:0

Dungeon: Ruins of Kluch Manor
Type: Natural Cave
Total Size: 12
B0000007.RDB,   X:-1, Z:0
B0000010.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
W0000007.RDB,   X:0, Z:0
W0000006.RDB,   X:0, Z:1
B0000005.RDB,   X:0, Z:2
B0000006.RDB,   X:1, Z:-1
N0000026.RDB,   X:1, Z:0
N0000091.RDB,   X:1, Z:1
B0000009.RDB,   X:1, Z:2
B0000009.RDB,   X:2, Z:0
B0000013.RDB,   X:2, Z:1

Dungeon: The Prison of Rhurpur
Type: Prison
Total Size: 10
B0000014.RDB,   X:-2, Z:0
B0000007.RDB,   X:-1, Z:-1
N0000001.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-2
N0000049.RDB,   X:0, Z:-1
N0000013.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0

Dungeon: The Rurg Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000012.RDB,   X:-1, Z:0
