Region: Myrkwasa

Dungeon: Ruins of Sorp Manor
Type: Laboratory
Total Size: 12
B0000005.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000031.RDB,   X:0, Z:0
N0000020.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000001.RDB,   X:1, Z:-2
W0000025.RDB,   X:1, Z:-1
W0000028.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000009.RDB,   X:2, Z:-1
B0000010.RDB,   X:2, Z:0

Dungeon: Ruins of Old Fharmki's Hovel
Type: Scorpion Nest
Total Size: 11
B0000011.RDB,   X:-1, Z:-2
B0000008.RDB,   X:-1, Z:-1
B0000006.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-3
N0000058.RDB,   X:0, Z:-2
N0000001.RDB,   X:0, Z:-1
N0000052.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-2
B0000004.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: The Tower of Chozten
Type: Crypt
Total Size: 12
B0000007.RDB,   X:-3, Z:-1
B0000003.RDB,   X:-2, Z:-2
N0000076.RDB,   X:-2, Z:-1
B0000002.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-2
N0000036.RDB,   X:-1, Z:-1
N0000007.RDB,   X:-1, Z:0
B0000008.RDB,   X:-1, Z:1
B0000008.RDB,   X:0, Z:-1
W0000016.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: Castle Chevrn
Type: Harpy Nest
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000089.RDB,   X:0, Z:0
N0000038.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000007.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1

Dungeon: Castle Mormun
Type: Barbarian Stronghold
Total Size: 14
B0000010.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
N0000053.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
N0000076.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:-1
N0000051.RDB,   X:2, Z:0
B0000002.RDB,   X:2, Z:1
B0000006.RDB,   X:3, Z:-1
N0000025.RDB,   X:3, Z:0
B0000013.RDB,   X:3, Z:1
B0000001.RDB,   X:4, Z:0

Dungeon: Ruins of T'elpir Palace
Type: Giant Stronghold
Total Size: 13
B0000004.RDB,   X:-2, Z:-2
B0000013.RDB,   X:-2, Z:-1
B0000013.RDB,   X:-2, Z:0
B0000005.RDB,   X:-1, Z:-3
W0000014.RDB,   X:-1, Z:-2
