Region: Orsinium Area

Dungeon: Ruins of The Old Gaersly Hovel
Type: Desecrated Temple
Total Size: 13
B0000007.RDB,   X:-3, Z:0
B0000014.RDB,   X:-3, Z:1
B0000002.RDB,   X:-2, Z:-1
N0000083.RDB,   X:-2, Z:0
W0000027.RDB,   X:-2, Z:1
B0000007.RDB,   X:-2, Z:2
B0000002.RDB,   X:-1, Z:-1
N0000067.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000000.RDB,   X:0, Z:-1
N0000055.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: Ruins of Ashford Manor
Type: Orc Stronghold
Total Size: 8
B0000006.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
N0000051.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:0

Dungeon: Castle Kingcroft
Type: Crypt
Total Size: 13
B0000011.RDB,   X:-2, Z:0
B0000014.RDB,   X:-1, Z:-1
N0000055.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
W0000009.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
N0000089.RDB,   X:1, Z:0
N0000008.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2
B0000003.RDB,   X:2, Z:0
B0000003.RDB,   X:2, Z:1

Dungeon: Ruins of The Hold of Kington
Type: Orc Stronghold
Total Size: 10
B0000008.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-2
W0000021.RDB,   X:0, Z:-1
N0000082.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-2
N0000086.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0
B0000013.RDB,   X:2, Z:-1

Dungeon: Ruins of The Tower of Ashston
Type: Ruined Castle
Total Size: 11
B0000002.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000008.RDB,   X:-1, Z:2
B0000004.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
W0000023.RDB,   X:0, Z:1
N0000063.RDB,   X:0, Z:2
B0000013.RDB,   X:0, Z:3
B0000009.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000004.RDB,   X:1, Z:2

Dungeon: The Kinging Burial Ground
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Tower Greenfield
Type: Orc Stronghold
Total Size: 8
B0000000.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
W0000025.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
W0000004.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:0

Dungeon: The Gaersly Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000005.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Ruins of The Hold of Gaersmith
Type: Mine
Total Size: 13
B0000009.RDB,   X:-3, Z:0
B0000009.RDB,   X:-3, Z:1
B0000009.RDB,   X:-2, Z:-1
N0000003.RDB,   X:-2, Z:0
N0000055.RDB,   X:-2, Z:1
B0000005.RDB,   X:-2, Z:2
B0000007.RDB,   X:-1, Z:-1
N0000052.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
N0000084.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: Ruins of Old Evelolda's Hovel
Type: Ruined Castle
Total Size: 10
B0000003.RDB,   X:-2, Z:1
B0000013.RDB,   X:-1, Z:0
W0000022.RDB,   X:-1, Z:1
B0000014.RDB,   X:-1, Z:2
B0000002.RDB,   X:0, Z:-1
N0000075.RDB,   X:0, Z:0
N0000067.RDB,   X:0, Z:1
B0000004.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1

Dungeon: The Hold of Hawkston
Type: Natural Cave
Total Size: 12
B0000011.RDB,   X:-2, Z:-1
B0000001.RDB,   X:-2, Z:0
B0000011.RDB,   X:-1, Z:-2
N0000022.RDB,   X:-1, Z:-1
N0000074.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-2
W0000003.RDB,   X:0, Z:-1
N0000009.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Ruins of Castle Ashfield
Type: Desecrated Temple
Total Size: 8
B0000002.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
N0000015.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
W0000029.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:0

Dungeon: Sekrugoth
Type: Orc Stronghold
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
N0000087.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
N0000073.RDB,   X:1, Z:0
B0000011.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:0

Dungeon: Orsinium
Type: Orc Stronghold
Total Size: 16
S0000020.RDB,   X:0, Z:0
S0000021.RDB,   X:-2, Z:0
S0000022.RDB,   X:-3, Z:0
N0000044.RDB,   X:-1, Z:1
N0000004.RDB,   X:-1, Z:0
N0000065.RDB,   X:-1, Z:-1
W0000014.RDB,   X:-2, Z:-1
B0000011.RDB,   X:-4, Z:0
B0000012.RDB,   X:-3, Z:1
B0000013.RDB,   X:-2, Z:1
B0000014.RDB,   X:-1, Z:2
B0000001.RDB,   X:0, Z:1
B0000002.RDB,   X:0, Z:-1
B0000003.RDB,   X:-1, Z:-2
B0000004.RDB,   X:-2, Z:-2
B0000005.RDB,   X:-3, Z:-1

Dungeon: Ruins of Old Carolyssa's Hovel
Type: Mine
Total Size: 8
B0000011.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-1
N0000005.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000001.RDB,   X:0, Z:-1
W0000010.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: Ruins of Buckingford Hall
Type: Orc Stronghold
Total Size: 8
B0000002.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
