Region: Shalgora

Dungeon: The Stronghold of Yeomton
Type: Crypt
Total Size: 8
B0000013.RDB,   X:-2, Z:0
B0000010.RDB,   X:-1, Z:-1
N0000041.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000050.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: Moorford Tower
Type: Human Stronghold
Total Size: 8
B0000003.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
N0000038.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:-1
N0000037.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:0

Dungeon: The Mordard House of Correction
Type: Prison
Total Size: 8
B0000005.RDB,   X:-2, Z:0
B0000013.RDB,   X:-1, Z:-1
N0000043.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-1
N0000076.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Hold of Buckingston
Type: Vampire Haunt
Total Size: 8
B0000004.RDB,   X:-1, Z:-1
B0000014.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-2
W0000028.RDB,   X:0, Z:-1
N0000079.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
B0000000.RDB,   X:1, Z:0

Dungeon: Hearthham's Hold
Type: Human Stronghold
Total Size: 13
B0000007.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000001.RDB,   X:0, Z:-1
N0000051.RDB,   X:0, Z:0
W0000027.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000006.RDB,   X:1, Z:-1
N0000083.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:-1
N0000075.RDB,   X:2, Z:0
B0000009.RDB,   X:2, Z:1
B0000011.RDB,   X:3, Z:0

